"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022/12/1,"3,934 ","13,980 ","41,853 ","38,326 ","25,126 ","14,417 ","11,142 ","3,863 ","3,242 ","13,619 ","1,957 ","4,381 ","4,274 ","9,659 ","10,965 ","17,114 ","18,036 ","5,910 ","9,668 ","3,052 ","9,015 ","8,672 ","6,803 ","34,510 ","3,409 ","10,668 ","13,044 ","15,397 ","23,857 ","16,299 ","9,889 ","25,495 ","15,866 ","31,001 ","24,416 ","10,921 ","34,947 ","25,380 ","25,187 ","19,650 ","22,451 ","115,687 ","40,528 ","19,981 ","22,452 ","24,976 ","25,408 ","28,458 ","24,283 ","12,464 ","29,850 ","6,753 ","7,984 ","18,932 ","5,020 ","3,620 ","3,123 ","13,972 ","9,125 ","12,583 ","28,268 ","8,870 ","12,845 ","7,748 ","22,429 ","23,299 ","24,819 ","39,632 ","37,477 ","26,443 ","23,844 ","52,103 ","24,800 ","33,109 ","31,542 ","19,639 ","59,985 ","20,689 ","15,532 ","14,900 ","22,496 ","12,221 ","26,073 ","19,240 ","7,235 ","11,550 ","38,006 ","22,941 ","24,894 ","22,018 ","14,391 ","11,157 ","6,079 ","5,053 ","7,148 ","10,310 ","9,620 ","11,637 ","16,750 ","27,820 ","22,578 ","13,430 ","12,488 ","12,693 ","12,283 ","11,667 ","10,944 ","8,890 ","1,594 ","2,669 ","4,320 ","4,957 ","2,595 ","3,756 ","3,260 ","8,575 ","2,456 ","4,165 ","5,330 "
2022/12/2,"4,152 ","14,513 ","44,570 ","45,545 ","26,305 ","13,988 ","11,359 ","3,793 ","3,198 ","13,776 ","1,954 ","4,296 ","4,450 ","9,599 ","12,480 ","16,728 ","17,944 ","6,013 ","9,966 ","3,113 ","9,274 ","9,147 ","6,888 ","37,867 ","3,574 ","10,816 ","13,291 ","16,209 ","23,990 ","17,013 ","10,199 ","28,283 ","16,897 ","32,552 ","25,710 ","11,144 ","35,882 ","26,249 ","25,643 ","19,945 ","22,371 ","153,955 ","50,059 ","22,476 ","23,301 ","30,622 ","28,324 ","30,122 ","26,594 ","12,781 ","30,434 ","7,009 ","8,223 ","19,748 ","5,750 ","3,815 ","3,264 ","13,669 ","9,721 ","12,882 ","30,900 ","9,455 ","14,091 ","8,371 ","23,335 ","23,528 ","27,909 ","49,187 ","38,505 ","27,819 ","25,615 ","65,881 ","25,311 ","35,713 ","36,923 ","23,117 ","70,556 ","21,541 ","16,060 ","14,478 ","26,135 ","12,883 ","32,840 ","20,725 ","7,920 ","12,372 ","40,388 ","23,801 ","25,956 ","23,939 ","14,091 ","12,254 ","6,352 ","5,080 ","7,432 ","10,574 ","10,634 ","12,422 ","17,679 ","30,394 ","24,653 ","13,737 ","12,828 ","13,189 ","12,431 ","12,136 ","11,271 ","9,002 ","1,689 ","2,768 ","4,381 ","5,253 ","2,707 ","3,869 ","3,313 ","11,249 ","2,710 ","4,527 ","5,869 "
2022/12/3,"2,816 ","9,543 ","25,664 ","42,034 ","16,019 ","10,875 ","7,916 ","3,556 ","2,468 ","8,516 ","1,566 ","3,308 ","7,721 ","6,599 ","13,404 ","5,010 ","6,964 ","4,097 ","8,270 ","3,495 ","7,157 ","6,559 ","3,584 ","28,095 ","3,529 ","10,999 ","10,373 ","12,674 ","17,906 ","14,329 ","8,874 ","27,288 ","14,332 ","25,173 ","25,449 ","5,643 ","29,239 ","21,047 ","19,862 ","16,729 ","11,824 ","154,204 ","56,330 ","20,112 ","17,075 ","36,851 ","30,039 ","33,622 ","22,220 ","8,773 ","22,590 ","6,130 ","5,736 ","16,227 ","6,634 ","3,300 ","1,952 ","9,316 ","8,188 ","11,371 ","34,872 ","6,681 ","11,625 ","6,874 ","18,265 ","16,286 ","28,697 ","67,417 ","30,432 ","22,727 ","26,272 ","79,624 ","16,996 ","33,527 ","33,285 ","19,970 ","65,484 ","15,524 ","13,772 ","9,654 ","20,947 ","9,281 ","34,120 ","14,407 ","11,073 ","11,120 ","23,838 ","22,934 ","15,425 ","18,547 ","12,041 ","10,091 ","5,652 ","2,472 ","7,781 ","8,515 ","9,441 ","10,674 ","13,765 ","20,821 ","22,674 ","10,374 ","9,983 ","10,613 ","9,954 ","9,848 ","8,225 ","7,117 ","1,175 ","2,544 ","3,314 ","4,727 ","1,304 ","1,679 ","2,233 ","14,153 ","2,325 ","3,986 ","4,467 "
2022/12/4,"2,629 ","7,216 ","18,129 ","31,471 ","13,351 ","10,244 ","6,232 ","3,068 ","1,914 ","7,483 ","1,211 ","2,310 ","6,118 ","5,452 ","10,635 ","4,034 ","5,345 ","3,680 ","6,491 ","3,013 ","4,570 ","5,038 ","1,955 ","20,743 ","3,138 ","9,307 ","8,600 ","10,413 ","14,472 ","13,053 ","7,616 ","26,285 ","11,856 ","20,362 ","17,267 ","3,719 ","24,051 ","17,166 ","15,982 ","13,813 ","8,996 ","135,976 ","44,126 ","13,175 ","14,354 ","31,541 ","24,095 ","27,995 ","19,485 ","7,311 ","18,562 ","5,256 ","4,699 ","14,535 ","5,677 ","2,747 ","1,444 ","7,387 ","6,502 ","9,621 ","29,995 ","5,442 ","9,146 ","5,148 ","14,808 ","11,983 ","20,825 ","45,779 ","25,009 ","17,907 ","21,025 ","60,149 ","12,986 ","26,498 ","22,686 ","15,366 ","51,267 ","12,366 ","11,702 ","7,226 ","16,579 ","7,588 ","27,067 ","10,319 ","9,037 ","8,544 ","14,018 ","10,877 ","11,766 ","12,824 ","6,346 ","6,712 ","4,276 ","2,090 ","5,285 ","6,021 ","7,374 ","8,355 ","10,066 ","15,085 ","18,378 ","8,171 ","7,841 ","8,162 ","7,796 ","7,969 ","6,563 ","5,840 ",832 ,"2,107 ","2,885 ","3,953 ",983 ,"1,374 ","1,673 ","10,029 ","1,698 ","3,068 ","3,429 "
2022/12/5,"4,098 ","13,238 ","39,434 ","34,892 ","24,000 ","13,250 ","10,316 ","3,700 ","3,066 ","12,997 ","1,898 ","4,322 ","4,430 ","9,086 ","10,017 ","16,399 ","17,033 ","5,659 ","8,826 ","2,967 ","8,452 ","8,351 ","6,170 ","26,386 ","3,250 ","10,267 ","12,538 ","14,691 ","22,967 ","15,622 ","9,139 ","24,597 ","14,455 ","29,448 ","22,145 ","10,114 ","33,142 ","24,098 ","24,240 ","18,870 ","22,046 ","114,460 ","38,189 ","20,650 ","21,224 ","24,783 ","24,360 ","27,473 ","22,405 ","12,462 ","29,649 ","6,463 ","7,722 ","17,864 ","4,811 ","3,562 ","3,273 ","13,580 ","9,002 ","12,426 ","28,723 ","8,503 ","12,291 ","7,626 ","21,983 ","22,259 ","24,366 ","40,737 ","36,078 ","25,487 ","23,517 ","52,014 ","22,594 ","29,911 ","30,414 ","17,771 ","56,565 ","18,944 ","14,917 ","13,722 ","19,300 ","11,858 ","25,726 ","18,275 ","6,959 ","11,260 ","34,948 ","21,848 ","23,331 ","21,103 ","9,792 ","10,355 ","5,816 ","4,725 ","6,742 ","9,636 ","9,354 ","10,950 ","15,600 ","26,831 ","21,003 ","12,954 ","12,169 ","12,136 ","11,594 ","11,150 ","10,680 ","8,572 ","1,522 ","2,534 ","4,022 ","4,754 ","2,510 ","3,680 ","2,979 ","8,368 ","2,280 ","3,967 ","5,223 "
2022/12/6,"3,999 ","13,744 ","41,255 ","37,153 ","25,105 ","13,825 ","10,753 ","3,736 ","3,267 ","13,383 ","2,024 ","4,259 ","4,588 ","9,539 ","10,200 ","17,018 ","17,801 ","5,555 ","9,200 ","2,897 ","8,567 ","8,651 ","6,429 ","27,223 ","3,096 ","10,482 ","12,762 ","15,233 ","23,190 ","16,387 ","9,435 ","24,597 ","15,351 ","30,787 ","24,787 ","11,038 ","34,290 ","25,027 ","24,922 ","19,442 ","23,162 ","111,786 ","38,820 ","20,545 ","22,241 ","25,184 ","25,528 ","29,673 ","24,519 ","13,004 ","30,148 ","6,640 ","8,086 ","18,964 ","5,127 ","3,682 ","3,365 ","14,207 ","9,638 ","12,321 ","29,110 ","8,779 ","12,707 ","7,811 ","22,281 ","23,392 ","24,946 ","40,121 ","37,611 ","26,688 ","24,089 ","52,794 ","23,964 ","30,159 ","31,281 ","18,697 ","57,742 ","20,295 ","15,093 ","13,933 ","19,450 ","12,386 ","25,649 ","18,693 ","7,241 ","11,483 ","37,452 ","22,171 ","24,060 ","21,814 ","14,465 ","11,286 ","6,122 ","4,912 ","7,006 ","10,126 ","9,535 ","11,388 ","16,230 ","27,659 ","22,553 ","13,296 ","12,399 ","12,426 ","11,935 ","11,518 ","10,926 ","8,907 ","1,562 ","2,544 ","4,106 ","4,771 ","2,578 ","3,786 ","3,212 ","8,585 ","2,441 ","4,128 ","5,307 "
2022/12/7,"3,954 ","14,037 ","41,777 ","38,274 ","25,329 ","14,303 ","11,033 ","3,982 ","3,270 ","13,650 ","1,966 ","4,401 ","4,558 ","9,550 ","11,175 ","17,019 ","17,928 ","5,724 ","9,392 ","3,065 ","8,811 ","8,758 ","6,443 ","27,947 ","3,426 ","10,777 ","13,155 ","15,531 ","23,770 ","16,556 ","9,864 ","25,191 ","15,671 ","31,728 ","24,608 ","10,982 ","34,869 ","25,296 ","24,996 ","19,676 ","23,060 ","114,948 ","40,424 ","20,800 ","22,443 ","25,470 ","25,488 ","29,886 ","23,691 ","13,025 ","30,334 ","6,810 ","8,061 ","19,154 ","4,842 ","3,652 ","3,422 ","14,337 ","9,437 ","12,484 ","28,966 ","8,954 ","12,724 ","7,949 ","22,473 ","23,613 ","25,470 ","40,774 ","38,091 ","27,075 ","24,064 ","54,016 ","24,823 ","30,997 ","32,370 ","20,396 ","59,777 ","20,522 ","15,834 ","14,146 ","20,294 ","12,042 ","26,790 ","19,245 ","7,314 ","11,571 ","37,780 ","22,390 ","24,786 ","22,334 ","14,169 ","11,376 ","6,060 ","4,941 ","6,978 ","10,587 ","9,557 ","11,359 ","16,584 ","28,375 ","22,559 ","13,624 ","12,525 ","12,778 ","12,005 ","11,611 ","11,202 ","8,828 ","1,570 ","2,615 ","4,245 ","4,918 ","2,608 ","3,768 ","3,209 ","8,404 ","2,493 ","4,170 ","5,342 "
2022/12/8,"4,021 ","14,128 ","42,607 ","40,105 ","25,620 ","14,681 ","11,309 ","4,001 ","3,243 ","13,758 ","2,020 ","4,332 ","4,704 ","9,566 ","11,204 ","17,263 ","18,033 ","5,810 ","9,508 ","3,070 ","8,742 ","8,771 ","6,566 ","33,691 ","3,468 ","10,882 ","13,317 ","15,755 ","23,515 ","16,672 ","9,804 ","25,611 ","15,894 ","31,755 ","25,274 ","11,082 ","35,173 ","25,316 ","25,352 ","19,532 ","22,388 ","119,986 ","41,672 ","20,861 ","23,197 ","25,707 ","26,548 ","30,251 ","25,390 ","12,671 ","30,546 ","6,867 ","8,602 ","19,356 ","5,255 ","3,718 ","3,428 ","14,263 ","9,578 ","12,715 ","29,661 ","8,938 ","12,918 ","7,867 ","22,833 ","23,184 ","25,651 ","42,015 ","37,802 ","26,710 ","25,114 ","54,525 ","24,622 ","31,570 ","33,016 ","19,797 ","61,151 ","20,564 ","15,681 ","14,663 ","22,423 ","12,403 ","27,043 ","19,474 ","7,515 ","11,681 ","38,538 ","22,446 ","24,649 ","22,436 ","14,270 ","11,091 ","6,288 ","4,803 ","7,203 ","10,515 ","9,769 ","11,771 ","17,012 ","28,828 ","22,995 ","13,348 ","12,539 ","12,766 ","12,141 ","11,656 ","11,129 ","8,939 ","1,594 ","2,608 ","4,316 ","4,907 ","2,611 ","3,807 ","3,142 ","8,743 ","2,488 ","4,159 ","5,297 "
2022/12/9,"4,382 ","14,916 ","46,640 ","47,287 ","26,861 ","15,639 ","12,090 ","4,057 ","3,218 ","13,820 ","2,011 ","4,513 ","4,804 ","9,833 ","14,051 ","16,938 ","18,265 ","6,081 ","10,332 ","3,136 ","9,157 ","9,346 ","7,060 ","35,269 ","3,883 ","11,150 ","13,573 ","16,571 ","25,432 ","17,444 ","10,446 ","29,377 ","17,278 ","33,471 ","26,183 ","11,069 ","36,654 ","26,801 ","26,211 ","20,273 ","23,639 ","162,657 ","52,310 ","23,379 ","24,494 ","29,012 ","28,873 ","29,938 ","26,091 ","13,094 ","30,964 ","6,989 ","8,256 ","19,773 ","6,122 ","3,927 ","3,205 ","14,220 ","9,772 ","12,872 ","30,087 ","9,499 ","14,514 ","8,280 ","23,571 ","23,871 ","28,834 ","50,589 ","39,718 ","28,110 ","26,102 ","68,736 ","26,123 ","34,965 ","39,425 ","22,801 ","73,577 ","22,171 ","16,997 ","14,971 ","27,278 ","12,803 ","30,975 ","21,677 ","7,842 ","13,026 ","41,394 ","23,875 ","25,977 ","23,993 ","14,493 ","11,605 ","6,660 ","5,247 ","7,836 ","10,973 ","10,697 ","12,334 ","18,711 ","30,421 ","25,812 ","14,205 ","13,109 ","13,554 ","12,627 ","12,084 ","11,387 ","9,247 ","1,629 ","2,902 ","4,578 ","5,403 ","2,791 ","3,954 ","3,481 ","11,760 ","2,804 ","4,644 ","6,022 "
2022/12/10,"2,774 ","9,592 ","26,955 ","45,993 ","16,775 ","12,179 ","8,173 ","3,442 ","2,256 ","8,420 ","1,481 ","3,505 ","6,325 ","6,555 ","12,207 ","5,323 ","8,040 ","4,076 ","8,429 ","2,788 ","5,827 ","6,553 ","2,608 ","27,972 ","3,892 ","9,934 ","10,187 ","13,052 ","19,046 ","15,607 ","8,579 ","28,358 ","17,221 ","25,783 ","20,240 ","4,820 ","30,097 ","20,751 ","20,405 ","16,839 ","9,764 ","160,088 ","61,624 ","20,040 ","17,478 ","36,652 ","28,249 ","26,892 ","23,167 ","9,242 ","23,302 ","6,181 ","5,742 ","16,483 ","6,683 ","3,220 ","1,640 ","8,315 ","8,239 ","10,676 ","29,181 ","6,393 ","11,857 ","6,818 ","18,067 ","16,437 ","30,161 ","76,342 ","31,534 ","24,204 ","26,488 ","86,593 ","16,473 ","31,364 ","35,369 ","22,306 ","70,467 ","16,891 ","14,377 ","10,646 ","22,393 ","8,658 ","45,779 ","14,648 ","9,347 ","11,091 ","21,189 ","16,841 ","15,251 ","17,336 ","8,961 ","9,126 ","5,681 ","2,644 ","8,219 ","8,299 ","9,873 ","10,939 ","13,999 ","20,631 ","22,826 ","10,939 ","10,137 ","11,112 ","10,024 ","10,168 ","8,252 ","7,257 ","1,105 ","2,677 ","3,400 ","5,065 ","1,436 ","1,641 ","2,705 ","15,088 ","2,340 ","4,284 ","4,602 "
2022/12/11,"2,611 ","7,196 ","18,756 ","34,444 ","11,931 ","8,960 ","6,687 ","3,126 ","1,958 ","7,428 ","1,221 ","2,820 ","5,880 ","5,500 ","10,661 ","4,209 ","6,213 ","3,474 ","6,419 ","2,202 ","4,825 ","4,942 ","2,262 ","21,016 ","3,592 ","8,213 ","8,536 ","10,548 ","15,192 ","12,528 ","7,551 ","22,469 ","11,716 ","19,541 ","18,260 ","4,051 ","24,738 ","16,982 ","16,557 ","14,085 ","7,571 ","147,044 ","46,292 ","12,926 ","14,780 ","26,419 ","22,366 ","23,015 ","18,736 ","7,115 ","18,034 ","4,973 ","4,370 ","13,402 ","5,774 ","2,471 ","1,316 ","6,688 ","5,848 ","8,745 ","25,415 ","5,680 ","8,917 ","5,599 ","14,592 ","12,198 ","22,702 ","52,234 ","25,443 ","18,847 ","20,873 ","65,734 ","13,458 ","24,981 ","24,475 ","15,183 ","56,081 ","13,365 ","11,614 ","7,811 ","19,358 ","6,656 ","36,045 ","10,753 ","8,205 ","8,951 ","15,386 ","14,087 ","11,526 ","13,441 ","7,117 ","6,445 ","4,300 ","2,187 ","5,002 ","6,105 ","7,484 ","8,553 ","10,907 ","15,276 ","18,490 ","8,440 ","7,896 ","8,750 ","8,009 ","8,057 ","6,671 ","5,669 ",865 ,"2,303 ","3,112 ","4,285 ","1,223 ","1,392 ","1,771 ","11,064 ","1,759 ","3,421 ","3,509 "
